created_at,days_registered,favourites_count,followers_count,friends_count,listed_count,name,screen_name,statuses_count
2007-04-24 04:19:12+00:00,4142,429,980,1259,67,Obscured Name,mfcabrera,3557
2009-10-26 12:18:56+00:00,3226,1908,974,1720,22,Obscured Name,saketkc,419
2011-03-13 10:28:56+00:00,2723,84,974,112,3,Obscured Name,akanshgulati,167
2011-04-05 23:55:34+00:00,2700,1365,972,294,63,Obscured Name,datapythonista,1278
2009-04-07 10:48:39+00:00,3428,9637,971,377,62,Obscured Name,MOMeachair,7069
2009-01-16 13:57:49+00:00,3509,63,963,239,69,Obscured Name,driscollis,4341
2013-09-05 21:17:20+00:00,1816,0,954,148,21,Obscured Name,PyFR_Solver,274
2013-06-02 17:46:24+00:00,1911,1578,952,921,59,Obscured Name,dngman,750
2008-05-22 08:28:13+00:00,3748,467,949,1258,67,Obscured Name,melissawm,14702
2014-05-20 20:16:15+00:00,1559,33,939,2674,35,Obscured Name,pythonjobsboard,260
2009-07-26 00:44:47+00:00,3318,5239,936,3185,160,Obscured Name,faela_phoenix,3748
2008-09-06 21:17:08+00:00,3641,2723,932,2259,126,Obscured Name,radhios,8367
2010-11-22 16:40:42+00:00,2834,376,931,517,80,Obscured Name,mpellet771,2503
2014-08-06 14:45:57+00:00,1481,16626,919,875,142,Obscured Name,seanmylaw,5818
2014-09-01 13:10:23+00:00,1455,10137,917,1330,144,Obscured Name,rgaiacs,9959
2009-03-30 00:55:04+00:00,3436,421,915,2277,26,Obscured Name,pedrocalais,47959
2009-07-18 16:55:33+00:00,3326,1495,914,976,70,Obscured Name,reroes,15164
2011-10-19 12:19:33+00:00,2503,5306,913,699,123,Obscured Name,gabimaeztu,2401
2012-11-30 01:30:11+00:00,2095,4719,913,2477,51,Obscured Name,rmcgibbo,12109
2013-07-20 20:14:58+00:00,1863,1463,908,1215,58,Obscured Name,MichaelBossetta,1239
2010-06-14 03:17:21+00:00,2995,503,901,433,113,Obscured Name,cournape,15894
2012-04-20 16:06:21+00:00,2319,129,901,2449,12,Obscured Name,juan_qenk,1471
2009-09-17 07:13:52+00:00,3265,192,897,1890,68,Obscured Name,mattk7,1982
2011-07-13 17:01:17+00:00,2601,1043,891,845,15,Obscured Name,TheChymera,370
2015-12-06 09:35:17+00:00,994,394,886,3230,55,Obscured Name,tstokrk,165
2015-03-05 17:06:25+00:00,1270,1956,886,895,99,Obscured Name,ds_cba,1518
2008-05-24 16:34:44+00:00,3746,947,885,2259,63,Obscured Name,svenkreiss,651
2009-07-24 14:23:43+00:00,3320,1661,882,1677,19,Obscured Name,abreulastra,4538
2009-02-10 22:44:33+00:00,3484,99,875,296,60,Obscured Name,TuPLE,2255
2010-02-10 00:28:15+00:00,3119,5455,872,2567,29,Obscured Name,beconstant,3711
2012-11-15 10:04:53+00:00,2110,3865,872,2661,43,Obscured Name,Pierre_Pgt,17389
2012-11-22 08:55:03+00:00,2103,2927,870,508,26,Obscured Name,AndersSChristen,2871
2010-06-27 17:19:35+00:00,2982,585,865,4155,42,Obscured Name,romeomarkk,856
2007-08-06 00:59:59+00:00,4038,4264,859,607,204,Obscured Name,loretoparisi,11296
2014-07-14 18:35:23+00:00,1504,10338,857,879,144,Obscured Name,leriomaggio,3841
2011-10-08 08:02:17+00:00,2514,6885,850,182,226,Obscured Name,PythonSV,3597
2014-08-29 18:17:42+00:00,1458,168,843,591,33,Obscured Name,informatics_lab,346
2014-05-18 12:00:15+00:00,1561,1078,841,1338,84,Obscured Name,TomSilico,1141
2013-08-22 15:39:40+00:00,1830,7,839,2773,12,Obscured Name,MVDV_31,542
2009-06-23 19:52:41+00:00,3351,1318,838,817,100,Obscured Name,JasonByrnePhD,4699
2007-12-30 04:29:26+00:00,3892,5969,837,2050,57,Obscured Name,jonhurlock,6193
2008-12-03 19:38:00+00:00,3553,3917,836,984,86,Obscured Name,hen_drik,1568
